[I 20220114 20:19:50 opticalFlow:39] START
[I 20220114 20:19:50 opticalFlow:56] START
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:50 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:51 opticalFlow:90] RUN END
[I 20220114 20:19:52 opticalFlow:90] RUN END
[I 20220114 20:19:52 opticalFlow:90] RUN END
[I 20220114 20:19:52 opticalFlow:90] RUN END
